Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PCPI21005,"Anderson County, KY",21005,31088,32199,33338,34227,34965,35915,37060,37736,38165,39241,40581
PCPI47001,"Anderson County, TN",47001,33272,34420,36140,36435,36145,37366,38582,39700,40526,41993,43045
PCPI48001,"Anderson County, TX",48001,25257,26712,28152,29556,29932,30999,32089,32989,32759,34363,36027
PCPI20003,"Anderson County, KS",20003,31955,30684,34461,36525,37609,38072,38088,39616,37679,38609,42046
PCPI29003,"Andrew County, MO",29003,36151,35494,37511,38136,39474,40569,41073,42014,43416,43385,45594
PCPI48003,"Andrews County, TX",48003,34075,36375,42705,48099,50335,53997,45542,40546,45435,50776,51769
PCPI23001,"Androscoggin County, ME",23001,33687,34004,35041,35614,35456,36415,38057,38459,39734,41375,42968
PCPI48005,"Angelina County, TX",48005,30472,31293,33258,35165,34755,37194,38033,37189,37347,38899,39644
PCPI24003,"Anne Arundel County, MD",24003,51923,52982,55814,57180,57296,59255,61444,62862,64723,67078,69035
PCPI27003,"Anoka County, MN",27003,37522,38291,40562,41974,42361,44559,46558,47452,49338,51069,52250
PCPI37007,"Anson County, NC",37007,25727,26750,27183,28352,28583,30689,32528,32379,34547,35468,36307
PCPI31003,"Antelope County, NE",31003,36260,40514,54014,51996,56201,53878,51542,52330,47809,50695,54945
PCPI26009,"Antrim County, MI",26009,30308,31948,33852,35918,37529,39719,42254,43173,44559,46225,47855
PCPI04001,"Apache County, AZ",04001,26371,27008,27514,27487,27925,29420,30716,31246,32842,34265,35189
PCPI19007,"Appanoose County, IA",19007,29387,29766,31315,32468,33015,33159,35521,35815,37559,38598,40000
PCPI13001,"Appling County, GA",13001,24729,25298,27154,27870,28628,29559,31771,31871,33329,34058,35514
PCPI51011,"Appomattox County, VA",51011,31099,30756,31809,31772,32400,33776,35295,35962,36907,38217,39268
PCPI48007,"Aransas County, TX",48007,35138,37457,40341,44207,45239,46409,47086,43640,45597,50184,51614
PCPI08005,"Arapahoe County, CO",08005,39767,40980,46782,48429,49668,53215,54455,55207,57116,61906,64477
PCPI48009,"Archer County, TX",48009,37111,38927,42300,45531,47994,50243,46542,46086,47778,49601,52335
PCPI08007,"Archuleta County, CO",08007,29631,30436,32150,33470,34121,37595,39350,40128,40893,42483,43088
PCPI26011,"Arenac County, MI",26011,26953,28225,29583,30601,31124,32271,33393,35002,36047,37780,39009
PCPI05001,"Arkansas County, AR",05001,34284,34129,36499,38361,41659,41496,41811,44075,44286,45471,47899
PCPI51013,"Arlington County, VA",51013,74532,79590,82755,84558,80077,84081,86764,88181,91685,96881,99407
PCPI48011,"Armstrong County, TX",48011,36896,40142,38731,37184,41764,43268,43299,45053,46128,52201,53422
PCPI42005,"Armstrong County, PA",42005,34133,35656,39103,38871,38972,40627,39796,40140,42486,45168,46925
PCPI23003,"Aroostook County, ME",23003,32479,33157,34220,34932,34975,35800,37264,38041,39927,41576,43189
PCPI31005,"Arthur County, NE",31005,26016,28297,37575,25674,33837,52878,61239,47348,46369,45972,48955
PCPI22005,"Ascension Parish, LA",22005,38711,39717,41117,42620,43207,44967,46607,46583,47863,49403,50671
PCPI37009,"Ashe County, NC",37009,28697,28968,29591,31227,30779,31182,31611,32612,33543,34779,36426
PCPI39005,"Ashland County, OH",39005,28559,29344,31308,31818,33124,34497,35554,35769,37215,38711,39977
PCPI55003,"Ashland County, WI",55003,30395,30838,32465,34311,34602,35441,36918,37557,38924,40345,42007
PCPI05003,"Ashley County, AR",05003,27713,29502,31583,31575,31799,31548,32802,33556,34610,36040,37944
PCPI39007,"Ashtabula County, OH",39007,28718,29614,31480,32020,32547,34141,35462,35620,37169,38659,39767
PCPI53003,"Asotin County, WA",53003,34833,35893,37172,38308,38498,40387,41875,43517,45325,46917,48456
PCPI22007,"Assumption Parish, LA",22007,32039,33641,36301,38838,41365,41869,41467,39971,43542,46833,47947
PCPI48013,"Atascosa County, TX",48013,26796,28773,31876,34059,35327,37630,35344,33686,35517,36686,37644
PCPI29005,"Atchison County, MO",29005,42800,42382,44761,44129,52970,52397,39382,43808,43705,39897,48160
PCPI20005,"Atchison County, KS",20005,29375,29631,32163,31018,32500,33289,34589,34787,36488,38083,40335
PCPI39009,"Athens County, OH",39009,26049,27343,28650,29092,28989,30243,31011,31522,32521,33279,34796
PCPI13003,"Atkinson County, GA",13003,22332,21833,23613,24374,25073,25298,27487,27422,29842,30277,31542
PCPI34001,"Atlantic County, NJ",34001,38386,38989,40821,41831,42459,43636,44423,45406,46796,48548,50631
PCPI40005,"Atoka County, OK",40005,24129,25039,26299,27605,28671,29583,29938,29693,31181,31739,32823
PCPI28007,"Attala County, MS",28007,27239,28172,30378,30437,31017,31227,31843,32318,32755,33071,34583
PCPI29007,"Audrain County, MO",29007,31419,32416,33736,33192,34908,36791,38961,38496,38270,37106,39118
PCPI19009,"Audubon County, IA",19009,37268,39555,48770,45837,48072,45628,45222,44010,47043,52532,58359
PCPI39011,"Auglaize County, OH",39011,33729,35382,38558,40352,40566,42710,43410,44658,47304,48577,49789
PCPI46003,"Aurora County, SD",46003,38669,37578,51282,40587,42677,39852,39215,36914,35934,38753,40709
PCPI48015,"Austin County, TX",48015,38965,39285,41184,46528,45496,48571,49760,47628,48176,49449,51118
PCPI01001,"Autauga County, AL",01001,32590,33348,34337,35067,35538,36786,38849,39883,41101,42504,43917
PCPI37011,"Avery County, NC",37011,26974,27193,28087,29501,29276,30936,31943,32756,34312,35565,36748
PCPI22009,"Avoyelles Parish, LA",22009,29734,30607,32948,35005,35083,34897,34372,34480,35933,37864,39001
PCPI08009,"Baca County, CO",08009,37960,39141,43782,37598,43632,41581,39186,39161,46748,45677,43297
PCPI13005,"Bacon County, GA",13005,23597,24536,26509,26864,27275,28310,29627,30398,31903,32169,33393
PCPI48017,"Bailey County, TX",48017,26642,31586,34011,35524,35814,41431,42761,38083,42853,43590,44665
PCPI41001,"Baker County, OR",41001,28325,29087,30642,32210,33883,35757,38164,38878,39059,41421,42494
PCPI12003,"Baker County, FL",12003,24814,25660,26380,26586,26479,27538,28740,29557,31068,32668,33254
PCPI13007,"Baker County, GA",13007,27467,30738,36528,38613,38368,34139,34531,35636,34559,36850,41323
PCPI13009,"Baldwin County, GA",13009,25736,26377,27586,27219,27638,29196,30138,30531,31962,32870,34128
PCPI01003,"Baldwin County, AL",01003,34663,36143,37881,38259,38222,39602,41613,43143,44566,46205,47485
PCPI21007,"Ballard County, KY",21007,31542,30702,33670,33288,36114,35491,35655,35549,37115,36851,38711
PCPI24005,"Baltimore County, MD",24005,48344,49300,50556,51976,51836,53830,55454,57166,58887,61139,62976
PCPI24510,"Baltimore City, MD",24510,36769,37999,40160,40749,41717,44057,46123,47475,49083,51577,53378
PCPI45009,"Bamberg County, SC",45009,25664,26470,27702,27544,28218,30227,30374,31252,32172,33598,35203
PCPI48019,"Bandera County, TX",48019,33483,32881,35706,38488,39423,40884,41023,41046,41871,43664,44925
PCPI13011,"Banks County, GA",13011,25671,25336,25844,28626,29082,30670,32423,32717,34915,35636,35151
PCPI31007,"Banner County, NE",31007,33746,44673,73040,56101,78724,86370,85470,81912,53390,52926,55695
PCPI16005,"Bannock County, ID",16005,28732,29198,30211,30978,31878,33125,34542,35432,37152,38232,39246
PCPI26013,"Baraga County, MI",26013,26016,26601,27110,29018,29279,29724,30357,30721,31504,32448,34044
PCPI20007,"Barber County, KS",20007,34414,38565,43547,47794,50279,48318,41033,40067,39730,43843,48489
