All-Transactions House Price Index by County (Index 2000=100),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATNHPIUS26007A,"Alpena County, MI",26007,99.27,92.81,89.84,89.99,92.74,94.33,95.99,102.31,103.86,108.31,112.48
ATNHPIUS06005A,"Amador County, CA",06005,124.15,108.43,103.97,113.77,127.18,139.30,153.29,164.17,173.37,180.54,185.17
ATNHPIUS51007A,"Amelia County, VA",51007,145.90,135.71,134.18,133.54,132.69,142.58,140.84,150.30,153.28,160.80,164.96
ATNHPIUS51009A,"Amherst County, VA",51009,145.65,142.39,140.33,141.47,136.87,140.68,143.01,148.99,151.03,157.09,162.19
ATNHPIUS45007A,"Anderson County, SC",45007,119.97,115.34,114.43,113.97,116.14,119.88,123.81,129.65,137.64,145.41,151.11
ATNHPIUS20003A,"Anderson County, KS",20003,119.21,110.68,110.08,116.98,121.54,112.23,122.84,117.26,113.42,136.11,139.08
ATNHPIUS48001A,"Anderson County, TX",48001,139.34,135.33,139.73,141.64,140.42,146.73,152.37,156.50,160.30,178.20,183.86
ATNHPIUS47001A,"Anderson County, TN",47001,135.38,131.76,126.24,129.41,132.13,130.70,133.90,139.15,149.80,157.10,166.23
ATNHPIUS21005A,"Anderson County, KY",21005,118.97,117.52,116.69,115.30,117.04,119.42,120.48,128.45,135.81,138.78,145.72
ATNHPIUS29003A,"Andrew County, MO",29003,123.80,122.27,123.22,124.47,124.90,128.93,137.01,140.28,148.81,144.31,157.94
ATNHPIUS48003A,"Andrews County, TX",48003,184.69,184.66,190.13,205.85,218.03,231.84,236.64,235.89,241.17,263.82,278.09
ATNHPIUS23001A,"Androscoggin County, ME",23001,144.41,139.77,135.88,137.22,138.09,138.50,143.60,150.72,160.81,168.84,178.77
ATNHPIUS48005A,"Angelina County, TX",48005,131.93,134.73,135.06,136.33,137.54,141.89,146.78,146.15,154.05,159.19,166.59
ATNHPIUS24003A,"Anne Arundel County, MD",24003,173.17,167.14,164.29,167.81,172.63,176.05,180.13,184.86,190.88,195.39,202.75
ATNHPIUS27003A,"Anoka County, MN",27003,114.37,105.14,102.59,109.98,119.00,124.12,131.52,140.87,150.78,156.92,162.31
ATNHPIUS31003A,"Antelope County, NE",31003,127.66,129.30,129.39,134.58,146.64,146.48,167.38,158.29,155.09,167.63,173.43
ATNHPIUS26009A,"Antrim County, MI",26009,102.51,97.27,93.18,98.95,101.74,107.79,110.33,119.18,127.64,135.17,138.52
ATNHPIUS04001A,"Apache County, AZ",04001,135.31,123.35,113.27,124.10,130.61,137.95,136.56,151.11,151.93,164.11,169.85
ATNHPIUS13001A,"Appling County, GA",13001,122.45,112.62,111.42,113.54,113.74,116.80,135.72,120.15,123.67,126.50,135.25
ATNHPIUS48007A,"Aransas County, TX",48007,167.81,166.20,168.92,173.65,182.25,195.13,206.59,207.25,228.50,240.92,249.10
ATNHPIUS08005A,"Arapahoe County, CO",08005,110.09,106.34,109.00,118.47,132.83,147.89,165.35,181.32,197.01,204.33,211.18
ATNHPIUS48009A,"Archer County, TX",48009,129.26,128.86,134.12,133.37,141.78,141.33,143.47,157.55,161.47,179.06,175.28
ATNHPIUS08007A,"Archuleta County, CO",08007,126.22,120.37,117.74,117.53,125.76,133.10,141.09,155.52,163.47,181.79,184.40
ATNHPIUS26011A,"Arenac County, MI",26011,96.15,92.61,88.24,90.74,89.91,85.24,94.63,100.67,105.04,106.82,111.21
ATNHPIUS05001A,"Arkansas County, AR",05001,134.48,133.58,135.35,138.08,146.49,143.68,145.65,146.39,143.32,152.57,153.52
ATNHPIUS51013A,"Arlington County, VA",51013,203.84,206.81,210.79,220.83,233.73,238.86,245.23,249.76,259.62,272.45,278.00
ATNHPIUS42005A,"Armstrong County, PA",42005,122.93,122.02,122.55,121.97,124.99,127.88,133.89,129.45,135.64,141.26,145.85
ATNHPIUS23003A,"Aroostook County, ME",23003,151.46,151.16,146.35,143.07,144.39,146.74,147.00,150.54,157.07,158.53,162.82
ATNHPIUS22005A,"Ascension Parish, LA",22005,138.77,136.13,136.98,139.17,143.42,148.28,152.52,158.25,161.82,164.42,168.18
ATNHPIUS37009A,"Ashe County, NC",37009,146.03,139.89,136.93,135.26,134.37,133.73,138.24,135.92,144.13,151.07,158.08
ATNHPIUS39005A,"Ashland County, OH",39005,104.56,101.98,97.06,98.02,100.18,105.33,108.25,110.68,119.90,123.95,131.05
ATNHPIUS55003A,"Ashland County, WI",55003,138.90,130.62,133.61,131.97,134.56,135.14,133.70,140.69,140.93,144.72,150.10
ATNHPIUS05003A,"Ashley County, AR",05003,112.45,111.09,112.91,115.53,114.45,119.31,120.42,120.32,128.50,127.09,131.83
ATNHPIUS39007A,"Ashtabula County, OH",39007,102.70,97.68,97.26,95.15,96.86,100.56,100.79,103.71,110.00,116.84,118.53
ATNHPIUS53003A,"Asotin County, WA",53003,165.03,157.85,158.87,160.02,164.49,168.74,175.48,178.71,196.28,203.01,215.34
ATNHPIUS22007A,"Assumption Parish, LA",22007,157.97,159.60,160.08,164.16,169.00,174.61,170.79,181.63,181.21,181.48,187.35
ATNHPIUS48013A,"Atascosa County, TX",48013,145.30,148.63,159.57,165.03,172.40,177.08,179.64,187.75,194.50,211.95,214.01
ATNHPIUS20005A,"Atchison County, KS",20005,134.84,136.02,131.72,130.89,135.15,135.31,138.33,141.19,143.89,154.94,157.00
ATNHPIUS39009A,"Athens County, OH",39009,124.09,122.90,121.98,123.54,125.62,130.39,131.44,138.57,139.60,139.03,145.34
ATNHPIUS34001A,"Atlantic County, NJ",34001,163.25,154.87,146.34,146.13,145.34,143.63,142.42,139.86,146.82,153.70,162.87
ATNHPIUS28007A,"Attala County, MS",28007,122.47,123.61,118.65,127.12,117.68,127.78,127.63,130.00,132.80,135.37,134.74
ATNHPIUS29007A,"Audrain County, MO",29007,112.21,112.00,113.98,113.38,120.34,119.05,125.40,128.60,133.40,142.96,142.74
ATNHPIUS19009A,"Audubon County, IA",19009,121.80,116.29,116.61,127.03,124.41,137.56,133.94,138.79,150.94,148.94,164.43
ATNHPIUS39011A,"Auglaize County, OH",39011,114.13,111.04,110.57,112.78,114.31,115.95,119.91,124.81,135.22,137.78,144.44
ATNHPIUS51015A,"Augusta County, VA",51015,148.41,143.13,139.33,140.60,143.93,144.51,149.42,150.99,158.79,163.30,169.84
ATNHPIUS48015A,"Austin County, TX",48015,145.67,142.51,144.45,147.67,156.76,165.22,171.43,182.06,191.74,201.00,207.02
ATNHPIUS01001A,"Autauga County, AL",01001,127.31,124.47,120.70,121.50,121.33,122.87,125.49,129.26,130.31,135.30,135.86
