,County Name,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2015.1,2016,2017,2018,2019,2020
20,Clark County,OH,86156.25,89550.66667,91759.0625,93678.5,96933.08333,99720.5,102380.75,103276.4167,102851.25,98266.66667,91912.58333,87696.41667,90046.33333,86889.08334,88696.16667,91568.91667,95284.75,102513.8334,107919.9167,113570.8333,119177.75
21,Wood County,OH,129540.6667,137361.75,142183.3959,145402.0834,149260.0833,153368.9167,156895.0,157501.0,149683.8333,144810.9167,140816.4167,136532.5833,134006.1667,133842.8333,137780.6667,143049.25,147305.0,155124.1667,162282.4167,166423.3333,179310.25
22,Richland County,OH,90371.91667,93018.0,96010.27083,99313.41668,102622.0,105050.75,109022.4167,111383.8333,96672.91666,91666.41667,82650.83334,78834.91667,78082.41667,82169.58333,81352.41667,88372.66667,93606.66667,94842.41668,104812.5,111840.8333,118285.1667
23,Wayne County,OH,122599.0,128457.0833,131771.3334,136756.75,140430.9167,144207.4167,146242.0834,150376.25,146061.5833,139280.1667,134178.9167,131358.5,133309.6667,136370.8333,131085.3333,140074.5833,144652.5833,151033.0,159218.0833,164049.0,175988.75
24,Columbiana County,OH,75091.83334,78845.5,81229.3125,83691.5,86890.0,89687.0,89789.91667,88990.33333,87690.08334,84577.25,81727.41667,79148.58333,79155.16667,80208.25,82359.41667,85392.41667,88664.83333,92598.16667,97283.66667,102504.1667,107973.25
25,Allen County,OH,82456.75,84998.5,88726.52083,90943.25,97180.41666,102944.25,103837.5833,106242.6667,102763.5,99338.91667,91523.33334,88581.66667,87011.0,87355.91667,88274.83334,92515.33333,95180.75,99635.33333,106476.5,111958.5,117750.5
26,Miami County,OH,121252.5834,125722.0,126596.0,131726.5833,138029.9167,142626.0,142901.9167,141399.4167,139068.75,133870.3334,129511.8333,125450.25,124226.5834,124490.5,128794.5833,133694.1667,137364.9167,143259.8334,151105.25,160758.75,172572.0
27,Ashtabula County,OH,80308.0,83235.25,85518.79167,88536.58333,93393.66667,98383.08333,100836.9167,103410.5,102713.6667,99892.50002,97141.16667,94546.91667,93992.16667,91759.91667,95416.66667,96354.66667,97906.66667,99878.75002,103293.3334,109835.1667,114302.1667
28,Geauga County,OH,181341.5833,190474.8334,195700.6875,201024.25,205422.9167,214279.3333,220903.0,220016.5834,209479.4167,203224.4167,198391.8333,193013.25,190592.6667,191555.4167,197004.3334,203481.0834,210416.5,219593.0833,231515.0,242442.0834,250256.9167
29,Tuscarawas County,OH,133308.0833,136961.25,141405.2709,145504.75,150621.25,160953.5,147814.4167,109592.6667,116557.75,113908.25,111204.0833,108585.6667,108758.25,110704.3334,115371.4167,120446.4167,125179.9167,132689.6667,141238.3333,146712.5,126327.4167
30,Muskingum County,OH,76506.25,81405.75,83081.08334,86049.66667,90556.08333,94334.25,97922.58333,101583.9167,100600.75,96814.58333,95114.33333,92632.16667,92408.08334,93585.41667,96775.08333,100297.5,103582.1667,108482.25,114430.4167,121991.25,129867.6667
31,Scioto County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,107152.0417,55459.91667,54062.08333,53211.41667,52656.91667,65669.33334,68337.08333,66425.25,64915.5,66628.16667,70063.41667,71694.75,75637.25,78897.75,82611.66667,84478.75
32,Ross County,OH,83489.08333,87674.33333,89672.6875,92230.5,94932.83333,97523.58333,96814.91667,96112.91667,96299.83333,94635.08333,92653.66667,90718.16667,90577.0,91858.75,95537.41667,99961.00001,105386.5834,110989.1667,117171.0,124926.9167,128772.0833
33,Erie County,OH,106580.6667,113380.4167,116335.1042,121601.5833,126171.25,128902.75,131993.6667,135146.1667,132747.1667,128940.9167,120666.4167,115459.4167,115372.6667,115474.5833,115319.6667,122465.9167,125872.75,132301.8334,134256.75,142425.3334,149662.5
34,Hancock County,OH,104236.1667,106928.8333,109162.8959,112847.75,117455.5834,120502.1667,122718.3334,122410.9167,119207.4167,118508.9167,113629.4167,107694.75,109803.4167,114630.9167,117262.1667,119196.9167,117683.8334,130359.3334,137627.5,145018.4167,157285.0833
35,Belmont County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,51338.25,61388.75,66387.41667,68331.91667,67670.41667,68256.08333,67444.08333,67460.75,69348.0,74047.58334,79433.91667,85319.75,90629.0,97313.58333,104764.75,109135.5834
36,Jefferson County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,107152.0417,109499.7917,109875.7917,108887.0,104484.0417,101296.70835,98608.79167,96540.33333,97678.16667,60320.33334,67486.75,71559.5,74120.91667,77280.83333,82442.25,85613.5
37,Marion County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,88600.45833,90349.08333,90140.41667,88725.75,85618.33333,83728.16667,81843.66667,80725.0,80412.25,82060.41667,84148.0,86527.58333,89335.58334,94007.16667,101464.0,103170.4167
38,Athens County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,108128.9167,109575.4167,109004.9167,107563.0834,103659.1667,100707.6667,98968.66667,99844.75,101130.3333,104755.75,109333.3334,115243.1667,122066.25,130029.8333,137154.25,141499.9167
39,Lawrence County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,77452.04167,82291.58334,83661.0,81301.66667,77044.83334,75562.83334,77788.91667,78791.33334,80196.41667,83027.5,87041.83333,90519.08333,94841.25,100863.5,105745.4167,107358.75
40,Washington County,OH,84557.25,89381.25,92169.0,94957.58333,98248.08334,102073.6667,103444.5,102620.5,101363.6667,98049.83334,95446.41667,92732.83333,92828.25,93905.91667,97427.16667,103082.5,108616.0833,115050.8333,122288.6667,130129.6667,135603.6667
41,Sandusky County,OH,88490.75,93180.08333,96524.95834,99654.25,102422.5834,105247.5,105126.0,103499.75,101366.6667,97528.91667,94155.83333,90674.66667,88016.41667,87263.25,92120.5,96960.41667,101961.9167,108065.5,114860.75,120685.0833,124213.0833
42,Knox County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,97078.20833,97820.5,97997.08333,97700.33333,95092.16667,93096.66667,91685.5,91564.25,92580.66667,96573.16667,103103.5833,112001.5,123453.9167,135862.5,148787.25,158553.0
43,Huron County,OH,95751.16667,100460.0833,103599.1042,105732.1667,106784.4167,108814.0,113533.5833,113671.4167,106986.5834,103818.0,100612.1667,97106.58333,94094.25,88557.41667,90916.5,92708.33333,96482.25,101812.5,106762.3334,113455.8333,118153.5834
44,Seneca County,OH,78373.0,82491.91667,84916.47917,87400.41667,90280.25,93818.58333,94117.25,93387.16667,92242.0,88890.41667,86701.25,84427.83333,83895.83333,84221.08334,86405.08334,89444.0,92587.5,97235.0,102373.8334,107999.75,111549.75
45,Pickaway County,OH,122755.4167,129380.8333,132996.8542,136883.9167,141629.8334,146613.5833,147157.25,145670.9167,143807.0,139184.5,135404.8334,131824.4167,131147.6667,131855.5,136852.8333,143325.4167,150911.5,160236.25,170392.3333,181187.75,189849.75
46,Ashland County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,118817.5,120611.6667,119871.0833,118067.75,114006.5,111078.4167,106772.3334,105564.25,106165.6667,109293.6667,112920.5834,116739.6667,122084.1667,130066.3334,137976.6667,143486.8333
47,Darke County,OH,95700.66667,100469.6667,103373.1875,106186.9167,109769.5,111363.1667,113309.6667,115493.5833,115076.5,111378.5,107788.4167,102489.3333,102419.75,105162.4167,110850.0834,118356.8334,123568.4167,127144.25,133026.1667,138222.0,141673.9167
48,Union County,OH,152027.9167,159738.0,163101.6459,167849.3334,173812.9167,179618.9167,185785.5833,189674.1667,189547.9167,184407.9167,185733.0,176445.8333,174390.1667,176251.4167,183945.4167,195126.3333,206822.5834,219936.5,244615.1667,255135.8333,270415.75
49,Shelby County,OH,90722.83333,95059.58333,97678.47917,100686.5833,104126.75,106196.3334,109424.1667,114600.1667,115200.6667,110385.0834,107104.0833,104684.1667,105394.0,107108.9167,110640.25,115012.6667,119839.0,126214.8334,133847.9167,141586.4167,147301.0
50,Auglaize County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,61998.5,76057.83334,108270.9167,113739.5,111188.0,109955.4167,107944.3333,106690.5,107157.25,111196.8333,116407.4167,122539.1667,129216.75,137493.0833,145865.8333,152128.6667
51,Logan County,OH,96946.5,101558.0833,104510.7708,108101.6667,112089.25,116080.4167,116888.0833,116333.5833,114362.5,110274.0834,107008.0,104343.8334,102437.4167,102752.3333,107001.5,111978.5833,117552.25,124839.0833,132862.6667,141893.8334,149244.0833
52,Brown County,OH,89824.75,94515.83333,98086.0,101822.3334,105697.5,109917.8334,110860.5,110322.0833,109070.0,105625.0,102607.25,100076.8333,98785.25,98881.75,101352.0,105555.8333,111134.6667,116800.0833,123177.4167,130141.1667,137172.1667
53,Crawford County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,107152.0417,109499.7917,109875.7917,75887.83333,74148.5,74227.83333,71632.33333,71567.16667,71283.41667,72390.83334,73847.91667,75053.91667,77890.66667,81291.58333,84770.25,86553.58334
54,Highland County,OH,77147.33334,80805.08334,83292.02084,85294.58333,87427.33333,91243.58334,93330.83334,95945.25,95798.16667,92490.75,89304.83334,86707.16667,85465.0,85406.41667,87344.66667,89893.91667,93289.25,97046.25,101428.0,107459.1667,112645.9167
55,Madison County,OH,116018.0,122315.8333,126890.6042,131432.3333,136370.0,141403.8334,142070.1667,140899.9167,139054.1667,134329.4167,131327.6667,128607.25,128460.6667,129602.3334,133318.3333,139900.5833,147369.8333,156208.6667,167373.25,178672.1667,187167.9167
56,Fulton County,OH,106290.1667,112979.8333,116692.8542,120819.75,125338.25,129988.4167,130682.8334,129562.4167,127541.6667,123099.0,119373.5833,115651.0834,114885.8334,114725.5834,117358.8333,121344.6667,125842.5,131827.0,139510.0833,147576.25,153520.8333
57,Holmes County,OH,108715.25,114642.1667,119478.0,124308.75,129963.8333,136819.8334,136805.8333,136690.6667,135761.0833,134007.0833,136591.25,136313.3334,138236.5,140399.3333,148707.75,159737.25,172341.6667,183931.4167,197567.0833,212367.5834,217165.0833
58,Preble County,OH,94401.08333,99236.83333,102244.7917,104485.0,105017.1667,108107.75,113601.5,116839.0833,117243.1667,113432.3333,111580.5,110144.25,110649.75,110814.9167,113497.4167,116793.5833,120072.5834,124881.8333,131697.3333,138762.25,143278.25
59,Clinton County,OH,93535.66667,97976.08333,100492.2083,103021.6667,105809.25,106102.1667,110683.5834,110158.9167,108926.75,105368.75,101885.75,98248.91667,96540.33333,96317.58333,97975.66667,101002.6667,104304.25,108629.5834,114796.6667,122888.25,129589.0834
60,Ottawa County,OH,122377.6667,129046.0,132766.4167,137549.5,143273.4167,148649.5834,149719.9167,148461.5,147035.0,143034.0833,139109.6667,135929.75,135485.9167,136072.5833,140939.75,145616.9167,151235.4167,157949.0833,165241.3333,173515.6667,179326.4167
61,Mercer County,OH,95050.875,99848.458315,102808.9896,105108.58335,106296.83335,69323.91667,102823.25,107189.4167,108887.0,108009.6667,107343.0834,105761.6667,106618.1667,109724.8333,115649.0833,122719.1667,129656.75,138080.0833,147970.6667,156986.6667,164302.9167
