State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
VA,51013,74532,79590,82755,84558,80077,84081,86764,88181,91685,96881,99407
TX,48011,36896,40142,38731,37184,41764,43268,43299,45053,46128,52201,53422
PA,42005,34133,35656,39103,38871,38972,40627,39796,40140,42486,45168,46925
ME,23003,32479,33157,34220,34932,34975,35800,37264,38041,39927,41576,43189
NE,31005,26016,28297,37575,25674,33837,52878,61239,47348,46369,45972,48955
LA,22005,38711,39717,41117,42620,43207,44967,46607,46583,47863,49403,50671
NC,37009,28697,28968,29591,31227,30779,31182,31611,32612,33543,34779,36426
OH,39005,28559,29344,31308,31818,33124,34497,35554,35769,37215,38711,39977
WI,55003,30395,30838,32465,34311,34602,35441,36918,37557,38924,40345,42007
AR,5003,27713,29502,31583,31575,31799,31548,32802,33556,34610,36040,37944
OH,39007,28718,29614,31480,32020,32547,34141,35462,35620,37169,38659,39767
WA,53003,34833,35893,37172,38308,38498,40387,41875,43517,45325,46917,48456
LA,22007,32039,33641,36301,38838,41365,41869,41467,39971,43542,46833,47947
TX,48013,26796,28773,31876,34059,35327,37630,35344,33686,35517,36686,37644
MO,29005,42800,42382,44761,44129,52970,52397,39382,43808,43705,39897,48160
KS,20005,29375,29631,32163,31018,32500,33289,34589,34787,36488,38083,40335
OH,39009,26049,27343,28650,29092,28989,30243,31011,31522,32521,33279,34796
GA,13003,22332,21833,23613,24374,25073,25298,27487,27422,29842,30277,31542
NJ,34001,38386,38989,40821,41831,42459,43636,44423,45406,46796,48548,50631
OK,40005,24129,25039,26299,27605,28671,29583,29938,29693,31181,31739,32823
MS,28007,27239,28172,30378,30437,31017,31227,31843,32318,32755,33071,34583
MO,29007,31419,32416,33736,33192,34908,36791,38961,38496,38270,37106,39118
IA,19009,37268,39555,48770,45837,48072,45628,45222,44010,47043,52532,58359
OH,39011,33729,35382,38558,40352,40566,42710,43410,44658,47304,48577,49789
SD,46003,38669,37578,51282,40587,42677,39852,39215,36914,35934,38753,40709
TX,48015,38965,39285,41184,46528,45496,48571,49760,47628,48176,49449,51118
AL,1001,32590,33348,34337,35067,35538,36786,38849,39883,41101,42504,43917
NC,37011,26974,27193,28087,29501,29276,30936,31943,32756,34312,35565,36748
LA,22009,29734,30607,32948,35005,35083,34897,34372,34480,35933,37864,39001
CO,8009,37960,39141,43782,37598,43632,41581,39186,39161,46748,45677,43297
GA,13005,23597,24536,26509,26864,27275,28310,29627,30398,31903,32169,33393
TX,48017,26642,31586,34011,35524,35814,41431,42761,38083,42853,43590,44665
OR,41001,28325,29087,30642,32210,33883,35757,38164,38878,39059,41421,42494
FL,12003,24814,25660,26380,26586,26479,27538,28740,29557,31068,32668,33254
GA,13007,27467,30738,36528,38613,38368,34139,34531,35636,34559,36850,41323
GA,13009,25736,26377,27586,27219,27638,29196,30138,30531,31962,32870,34128
AL,1003,34663,36143,37881,38259,38222,39602,41613,43143,44566,46205,47485
KY,21007,31542,30702,33670,33288,36114,35491,35655,35549,37115,36851,38711
MD,24005,48344,49300,50556,51976,51836,53830,55454,57166,58887,61139,62976
MD,24510,36769,37999,40160,40749,41717,44057,46123,47475,49083,51577,53378
SC,45009,25664,26470,27702,27544,28218,30227,30374,31252,32172,33598,35203
TX,48019,33483,32881,35706,38488,39423,40884,41023,41046,41871,43664,44925
GA,13011,25671,25336,25844,28626,29082,30670,32423,32717,34915,35636,35151
NE,31007,33746,44673,73040,56101,78724,86370,85470,81912,53390,52926,55695
ID,16005,28732,29198,30211,30978,31878,33125,34542,35432,37152,38232,39246
MI,26013,26016,26601,27110,29018,29279,29724,30357,30721,31504,32448,34044
KS,20007,34414,38565,43547,47794,50279,48318,41033,40067,39730,43843,48489
WV,54001,25686,26384,27633,28734,28328,28878,28965,29248,30543,32519,33599
AL,1005,26072,27770,28163,28206,30092,29874,31918,31932,33318,35067,35763
ND,38003,37291,45110,45419,53497,46037,47419,47314,47779,49792,52651,55764
MA,25001,50502,52395,55266,58176,59053,62087,65467,68267,71080,74714,77435
SC,45011,26508,26812,28282,28274,28747,30017,30904,31624,32325,33924,35606
KY,21009,27152,28569,30164,31773,31630,33665,35062,34389,35481,36302,37337
WI,55005,35391,35762,38397,42087,40912,43070,44803,44642,46666,49452,50166
GA,13013,26974,26321,28200,29600,30317,32135,33422,34058,35399,36410,37436
MI,26015,30893,32479,35247,36669,37388,38948,40589,41779,42710,44408,45804
MO,29009,28210,28887,29288,28597,30141,32195,34703,33446,33536,35085,35003
IN,18005,35882,37669,40420,43199,42443,44633,45925,46180,48154,51234,52546
KS,20009,37870,39548,44303,47484,47440,50621,46735,45164,45205,46210,49460
MO,29011,30145,30361,31879,33490,34752,34767,33286,33693,35151,34849,36035
