State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MA,25007,61813,63965,68973,71663,72080,75323,80370,85016,89602,97659,100996
NE,31057,46586,53883,65734,62105,72118,74836,79695,70797,61404,68093,74921
MO,29069,29263,30296,32575,30723,32888,30943,32440,32892,33665,35386,37291
WI,55033,30100,31307,33874,35943,36581,37171,37245,37360,38390,39909,41208
ND,38025,38659,49264,59737,73065,73596,77912,61115,50715,55477,60049,63237
NC,37061,27943,29131,28996,30604,32212,33961,33584,32285,34417,33980,35208
NC,37063,39068,40124,41324,42704,41797,43824,45202,46296,48168,50131,51713
NY,36027,41342,42082,43761,45812,46092,47551,49965,51642,54113,55911,58478
TX,48131,26990,29434,33723,36074,38196,39044,36957,33887,35210,37931,39029
FL,12031,35356,36726,38030,39108,38980,40325,42019,42514,44767,46420,47475
TN,47045,31756,33086,35419,35998,36766,37271,38030,37992,39031,40416,42552
CO,8037,48190,44519,46405,48313,55295,60912,66523,68598,73923,82342,84765
GA,13099,29561,30477,33163,35213,33546,32429,35014,36020,36286,36880,40465
LA,22033,39356,40070,42446,43835,44335,45553,45970,47398,48806,51621,53002
LA,22035,26845,28448,32401,37964,40533,34917,30555,33998,34943,35274,36035
LA,22037,32972,33674,34770,35422,35958,36142,37251,38619,39391,41089,42353
TX,48133,31699,34583,44985,46090,52497,48893,46818,47904,61016,77657,78826
MI,26045,32102,33056,34011,34480,35299,36433,38554,39440,40659,42089,43365
WI,55035,37467,38298,39647,40846,40965,42974,44011,43904,45938,48487,49851
GA,13101,20559,19878,21466,23019,23068,23582,24913,24998,26955,27775,28211
TX,48135,32748,34961,39573,44675,43880,47846,42026,37802,42824,48449,50161
ND,38027,34623,38732,41927,55431,51824,50311,52356,56852,55192,59384,59794
NM,35015,38331,43635,45992,50673,47899,52028,50275,46900,48074,54956,59661
IL,17045,31740,32842,35175,34014,37803,36444,35981,38240,40432,41809,42665
NC,37065,28401,28349,29693,30524,30324,31578,32365,32746,34107,35371,36814
SC,45037,25927,27008,27430,29076,28976,30270,31754,33648,35624,35709,37294
KY,21061,24353,24898,26046,27700,27494,28686,30410,30948,32088,32725,34037
SD,46045,42524,37474,55925,50097,59124,56090,49932,48046,46992,57450,54210
IL,17047,30201,31752,34819,35295,37832,36273,36759,36570,39303,40708,40991
KS,20047,46092,46783,55404,54387,65061,54110,59257,61585,53700,56221,62707
TX,48137,30927,28407,31189,31351,37883,37988,40966,35668,37055,41380,45429
GA,13103,32229,32419,33622,34790,35189,36513,37830,38564,40182,41606,42271
IL,17049,35556,38925,41123,41586,41886,43088,43384,45158,48170,49747,51296
CA,6017,46726,48146,50450,52711,54412,57187,60065,62973,64657,67215,69895
TX,48141,26472,28399,29744,30727,30280,31746,32808,33475,34601,36358,37715
CO,8041,37564,38250,40115,41188,41223,43204,44812,45151,47077,49003,51117
GA,13105,27151,26898,27668,29300,29868,31182,32430,32986,34530,35372,35550
CO,8039,42096,39370,48296,44314,47147,48923,51010,52745,54453,57917,60586
PA,42047,36583,38447,39601,39791,39742,42322,43260,44416,45966,48492,49141
KS,20049,29935,33984,37238,38881,40833,39056,38713,36536,36846,39323,41529
IN,18039,28425,30403,32387,34791,35784,38553,40290,41963,45343,46354,46975
NV,32007,37572,40879,42943,42639,41820,42068,42621,43002,44951,46898,48584
KY,21063,17536,18392,18735,19093,19786,20122,21209,20920,21782,22294,22828
KS,20051,36688,39238,43894,45865,45333,46977,44543,43002,43455,45980,47758
TX,48139,32656,33169,34881,36525,37083,38556,39950,41296,42874,44348,45968
OK,40045,30268,40089,52955,59314,59983,67181,53391,44785,48870,51712,54037
KS,20053,31850,32378,35003,37600,38648,39729,36402,36445,40558,44043,48380
AL,1051,33149,33960,35223,35857,35794,36685,38612,39847,41376,42705,44316
ID,16039,27723,28099,29767,30551,32799,34514,36648,36659,36432,38096,40585
GA,13107,25494,26100,27877,27756,28377,28640,30083,30599,32489,32574,33921
UT,49015,26975,27861,31153,27364,27968,29658,29519,29913,31022,34057,35177
IA,19063,32886,35568,39001,40998,42451,42002,41975,39809,41433,45979,48926
MI,26047,38513,40351,41970,44078,44989,47497,50110,52375,53960,56242,58528
ND,38029,32703,41735,50090,53236,43262,46693,44694,48164,46423,48268,49101
TX,48143,25795,28438,30179,30725,31142,34248,33977,34794,37009,38818,40462
NY,36029,38244,39626,41242,42804,43179,44433,46479,47458,50032,51406,53498
PA,42049,33428,34606,36961,38046,37975,39287,40720,41394,42524,45038,46379
OH,39043,45702,49468,54204,58135,58620,57161,56840,61060,59786,60436,61821
FL,12033,33106,34394,35823,36353,35953,37365,39211,39706,41182,42898,44349
AL,1053,25500,26891,27999,29209,29585,29922,30718,30787,32114,32997,34432
NV,32009,34191,38835,41187,45599,44521,49201,44460,43329,42794,39207,41641
NJ,34013,50908,51948,54224,55054,55808,58487,60840,62334,64232,65214,67657
VA,51057,33256,33170,34640,35600,36018,36919,37832,38657,40740,41761,43041
MA,25009,49876,51752,54132,55366,55289,57549,60664,62247,64629,67646,69981
VT,50009,29139,30575,31119,31316,31904,32261,33604,33689,35236,36237,38844
NY,36031,33171,34284,35300,37438,38300,39487,40348,41723,44447,45917,48181
KY,21065,24803,25704,26747,27360,27459,29039,30149,30026,30915,31956,32928
AL,1055,29143,30344,30927,31572,31629,32929,34344,35070,36064,37245,38326
NV,32011,33406,32674,37984,37949,36131,38102,34692,34399,37769,38916,42932
LA,22039,30408,30630,30688,31407,30840,30804,31148,31087,32118,33074,33474
GA,13109,26779,26543,27252,29102,29508,30905,32761,33031,33737,34443,35109
AK,2090,45263,46225,50956,50958,49150,52174,53753,53051,54612,57720,59958
OH,39045,34599,35160,36881,38670,38973,40036,41768,42832,44480,46093,47295
CT,9001,98315,103725,104079,103660,97235,102631,104590,107593,111380,117432,121397
SC,45039,27632,28728,29623,30313,30948,32045,33677,34790,35399,36592,37834
SD,46047,32199,35195,41357,40621,39743,41364,44226,43790,45059,46316,48186
MT,30025,41012,44324,47652,56189,55721,55298,52130,46950,47901,49124,50824
TX,48145,24773,26684,28215,28738,30799,31160,32737,32754,33386,34791,35258
TX,48147,26991,27804,29835,30798,31260,32729,34824,35779,36964,38161,39830
GA,13111,25339,25179,26463,27529,28024,29981,31749,32798,34838,36454,37385
MN,27043,35880,37296,42611,46073,44844,41380,41034,38742,41389,42897,46941
SD,46049,42704,38624,61806,56367,68989,62933,51186,45628,44713,55357,56814
AR,5045,30181,31008,32089,33034,33074,34188,34924,35448,36406,37702,38949
VA,51061,53179,55390,58192,61729,59654,60614,64065,65514,68382,70571,72577
IL,17051,26974,28790,30700,30200,32181,30703,31688,32708,34099,35676,36310
TX,48149,35984,38059,40916,44299,45722,50435,48434,46473,50980,52871,54552
PA,42051,31442,33203,34884,35722,36133,37301,38627,39031,40442,42289,43835
GA,13113,44712,44859,47799,49956,50121,53082,55858,58535,61114,65526,67467
IN,18041,28308,29547,31453,33166,33777,35587,35899,37479,38967,40663,41993
WV,54019,26849,27508,29667,30926,30358,31053,32088,31638,33050,34817,36424
OH,39047,29924,29365,31957,32594,34067,34354,35086,36402,37871,38938,40002
TN,47047,39964,40664,42827,45048,45769,46214,49898,51954,53797,54706,56361
AL,1057,25393,26397,27454,28717,29576,30361,32350,32694,33769,35041,36465
IA,19065,30005,32595,37419,38787,39784,40272,40097,40058,42111,45061,46621
KY,21067,38328,39358,40729,42087,42687,44635,46496,46439,47857,50106,51707
TN,47049,24653,25184,25704,26858,28542,28570,29946,30381,31188,32574,33727
MT,30027,31650,33866,35791,37894,37844,38246,39402,40389,40380,42822,46646
WA,53019,26498,27847,28801,30539,31250,33305,34673,35322,36010,36369,37311
NE,31059,43715,45195,59157,59043,64722,57466,58195,52020,54870,56927,59979
MN,27045,35217,35910,39576,40690,42458,42468,44852,43211,44147,45269,47061
KS,20055,32284,34920,37444,38438,39568,39565,39681,40939,41456,44357,46823
TX,48151,30330,35118,41352,33040,38515,35493,39874,37283,39553,49172,44630
FL,12035,31988,32909,34537,36371,36650,38992,40149,42423,44613,46393,47558
MT,30029,32679,34948,35804,38330,38521,40053,42749,44094,46485,48000,48866
KY,21069,24882,25997,27082,28879,30322,31306,32187,31780,32946,33913,34732
SC,45041,32104,32538,33931,34590,34867,36084,37737,39127,40006,42045,44001
WI,55037,34745,38697,42967,43369,45501,48724,53652,51847,51091,52455,53310
VA,51063,29246,29786,31158,32679,32386,33675,35062,35755,36861,38532,40065
IA,19067,33568,34847,38323,38705,42593,42254,45171,44749,45244,47557,50203
GA,13115,29415,30256,31314,31938,32356,34001,35509,36137,37072,38382,39314
IN,18043,38116,38571,40906,43335,43816,47161,49918,52654,53184,55378,57145
TX,48153,31216,37742,34111,31622,34551,32009,35528,33856,39234,41243,44646
KY,21071,28609,30025,31412,31321,31064,32831,33435,33504,35569,36099,37133
VA,51065,34121,34438,35797,36889,37333,38320,40335,41347,42801,44290,45334
TX,48155,31693,29101,31056,32946,37269,40798,39414,37613,41812,46435,44895
WI,55039,35553,36857,38284,40054,40067,42214,43860,44261,46055,48311,49949
IL,17053,39286,44026,45427,46182,50791,48315,47603,49433,47279,49447,50606
KS,20057,29905,31863,32887,34506,34975,33316,34401,36939,37462,39219,41373
PA,42053,20295,20662,20409,20548,20808,21682,20885,21912,21524,22959,24113
WI,55041,27893,30064,31097,33147,34295,35804,37715,38118,39514,40984,42663
MS,28035,30014,31401,32518,34359,34211,35695,36453,36898,37299,38541,39450
NC,37067,38157,39451,39416,40990,40348,43321,45042,45425,47390,47819,49247
GA,13117,44931,45832,49021,50962,52016,54677,57991,59628,60567,62230,63864
TX,48157,45952,46776,49474,52516,54342,58787,61484,54224,55584,57851,59653
ND,38031,42474,48418,51611,67148,53306,53110,53232,55399,58576,61239,59570
IN,18045,30602,31543,34030,35223,37501,36065,35684,37607,38670,40413,41412
AL,1059,26959,28093,28185,28452,28877,30048,31857,31428,33038,34714,35292
ME,23007,30416,30898,33058,33599,33742,35140,35710,35961,36868,38690,40189
MO,29071,33679,33710,34964,36165,36655,37879,39932,40907,43030,44059,45672
IA,19069,35756,37867,47339,48730,51168,49886,47387,44819,46218,49651,53241
IN,18047,35115,37039,38991,39912,40045,40603,42205,43312,44911,46182,47664
WA,53021,29885,30716,31980,31567,31750,33142,35107,35340,36298,37836,39526
NY,36033,29954,31151,31845,32587,33196,33582,34545,34669,37065,37390,39649
MA,25011,39649,40953,42573,44271,45190,47011,50237,51150,52821,54817,56793
IL,17055,29331,30964,32396,33389,33321,34010,34665,35094,36055,37463,38289
KY,21073,33881,34493,35626,36716,37074,38706,40463,41271,40616,41934,43271
FL,12037,27022,28778,30257,31261,30917,31249,32691,32917,34500,37616,37320
LA,22041,26954,27150,29007,29902,31079,28528,29400,29729,31160,31968,33250
ID,16041,24463,26233,27298,29348,30148,31971,33645,33270,34528,35579,37293
GA,13119,26989,26967,27352,30211,30504,32266,35179,33949,34999,35871,34017
TN,47051,28723,29925,31152,32845,33271,34180,35670,36135,37725,38954,40370
KS,20059,32178,32194,33623,34829,36005,36878,38533,39442,40722,42671,44472
OH,39049,37791,38888,41673,44435,44222,45900,47700,48122,48809,50285,51644
NE,31061,36515,34777,43953,46261,50344,46479,46434,43982,44950,46801,49619
AR,5047,24665,25752,26598,28619,28968,31316,31425,31319,32342,33210,33404
MS,28037,26288,27681,29122,30090,30882,31883,33171,32719,32842,33569,35353
PA,42055,35133,36017,37921,38640,39102,40923,41914,42576,44264,46298,47934
VA,51067,31084,31434,33412,34427,34206,35692,37454,38223,39233,40473,41795
NC,37069,28087,27774,28772,30266,29938,31091,32210,33204,34563,35981,37089
TX,48159,29758,30696,32313,33321,33771,35203,36385,36047,38365,40260,41307
VT,50011,34621,35455,37926,39109,39909,41258,41993,43055,44895,46072,47889
MD,24021,48294,49309,51081,52027,52144,53636,55375,57728,59713,62307,64147
MN,27047,33621,35141,38094,39684,41067,40910,41684,41779,43780,45410,47356
TX,48161,26885,29080,31846,34094,35041,36923,36759,34721,35541,36966,38182
WY,56013,34595,35815,38785,41311,41980,43068,42594,40363,42096,45535,47071
CO,8043,25241,25838,26738,27672,28691,30257,31856,32383,33369,35527,36966
ID,16043,25838,25437,27753,28210,29111,30084,31583,32441,33434,35518,37953
IA,19071,44236,43577,43204,45965,43904,42413,43974,43392,44168,44615,50441
CA,6019,30610,31724,33431,34317,35591,37872,40175,41122,41905,43438,45487
TX,48163,21057,22760,24457,27197,27814,29163,29665,27265,28448,29160,30223
NE,31063,36452,38099,51138,45388,51166,45449,46856,42250,38731,38413,38860
AR,5049,22112,23021,24211,24949,25087,25897,25834,26176,27018,28005,29020
NY,36035,32372,33564,34399,35069,35815,36905,38843,40075,42094,43430,45459
KY,21075,27739,26729,30226,29420,32410,32517,32483,31294,33209,33357,35240
GA,13121,58429,58811,63298,64731,63553,70995,73864,76629,81809,87311,88832
OH,39051,32406,33948,36264,37198,38249,39627,41032,42295,43646,45351,46811
PA,42057,29858,31080,33833,34974,35389,37646,38772,39349,42061,44634,45774
IL,17057,30590,31527,33038,33310,34537,34273,34805,35559,36560,38025,38465
IN,18049,29745,31551,34121,35892,37395,37269,37805,38529,40394,42377,43775
NE,31065,37958,40655,52356,44799,54765,51259,48089,44035,42088,42912,46012
FL,12039,27794,27707,29225,28912,28410,29780,31348,32166,33620,34717,35885
NE,31067,39000,38824,43228,41997,43258,44838,46880,43765,45177,47682,49057
TX,48165,26765,33790,33027,36778,41462,38662,37663,35686,39672,41173,44405
MT,30031,35260,36989,39227,42484,43596,46502,49096,50464,53440,56471,58195
KY,21077,23745,22454,25153,26236,26847,28561,29662,29605,31393,32579,33697
IL,17059,31810,34127,38421,36985,44593,39191,36527,38433,39669,40722,42451
OH,39053,31378,31195,32962,34321,34063,34843,35655,35994,37404,39196,40038
TX,48167,40225,40688,43160,45120,45563,48061,49949,48375,49931,52536,54250
NE,31069,37373,35305,50319,42187,48535,51485,49961,45672,44179,45043,48213
CO,8045,40960,37382,40325,42001,45104,50432,56403,53948,56498,58474,60285
NE,31071,30294,31329,42270,38165,44560,50384,54790,49372,39165,39138,41192
WA,53023,36693,38278,42950,41892,40948,40056,46311,42878,46108,48671,54352
UT,49017,26423,28008,29422,29694,31217,32136,35390,35649,37715,38305,39900
MT,30033,24779,31318,34781,36797,36159,35143,38870,33617,32243,35099,33995
OK,40047,36102,39063,41340,44215,42512,45208,44042,43605,42638,43667,44899
AR,5051,31127,31722,33072,34607,33825,35616,36714,37412,38759,39578,41069
KY,21079,25151,26459,28076,29043,30567,31466,32583,32464,33547,34365,35251
MD,24023,33270,34718,36317,36941,38146,40358,41451,42420,43735,45769,47735
OK,40049,31819,32073,33592,35849,36164,38135,36501,34634,36161,37973,39303
TX,48169,27237,31948,34361,35335,36826,36937,29965,27500,28465,31325,32601
MO,29073,30374,30809,31844,33099,34017,35100,36290,36815,38967,39238,40932
NC,37071,32617,34672,33453,34771,35189,36414,37642,38249,39977,40175,41506
NC,37073,29997,30342,30777,31667,32126,33565,34575,35049,36705,37187,38851
KS,20061,42625,40675,43833,42224,42957,43923,43930,44158,46935,49004,51410
OH,39055,46419,50002,55480,57047,57770,60785,62358,63885,66110,68884,70955
ID,16045,26993,27294,28082,29329,31415,32212,33947,34709,36040,38237,39382
NY,36037,33551,34775,36018,36990,37901,39303,40744,40964,42887,44080,46181
MI,26049,29538,30420,32081,33165,33913,35258,37118,38215,39198,40618,41929
AL,1061,28230,28925,29387,29448,30754,31217,32849,33045,34331,35525,36848
MO,29075,35277,35235,37329,37263,39418,41423,37598,37390,40256,41309,44599
MS,28039,27535,27833,28665,29844,30086,31342,31662,31126,31337,33060,33595
SC,45043,34314,34913,36846,37805,37493,39571,42283,43255,45594,47586,49341
TN,47053,30241,31016,32921,33521,34876,34737,35651,35366,36723,38039,39892
IN,18051,32010,33660,35598,36758,39647,39854,40200,41267,42680,44802,46049
AZ,4007,30286,30351,31529,31826,32729,34341,35876,36443,38777,39929,41217
FL,12041,24231,25751,26896,28732,27904,30100,30145,30825,32708,33487,34756
TN,47055,27651,29090,30466,32004,32855,33806,35564,36368,37791,38281,38934
VA,51071,30249,31309,32619,34001,34280,35850,36729,37219,38325,39681,41179
TX,48171,41957,41726,44252,49535,48685,52458,54698,55380,59077,61754,63291
OR,41021,41272,39835,44006,42350,44034,43407,50286,48960,49752,51784,55409
GA,13123,25734,25412,25711,28448,29350,31239,32827,32675,33997,35511,35576
WV,54021,19541,20062,22259,24129,24918,26621,27462,26379,27777,28799,29672
CO,8047,37016,35659,35685,35870,40991,41628,43966,45097,46151,48377,50346
MT,30035,28831,29652,30971,31375,30795,30776,31141,32190,32682,34731,36484
FL,12043,18474,19873,19917,21747,21482,22494,24729,22725,24112,25265,26102
MI,26051,27074,28036,28702,29641,30074,30761,32549,33742,35432,36519,37512
GA,13125,24243,25266,26676,27199,28314,29579,31184,32763,32619,33152,34786
TX,48173,32415,47665,41994,47443,64391,64941,68256,63635,83038,85914,84623
CA,6021,31405,32518,35032,36256,39189,38460,41447,43128,43587,47124,49194
NJ,34015,41620,42271,43760,44912,45878,47365,49617,50804,52496,54344,56499
VA,51073,40091,39715,41275,42795,42368,43453,45393,46700,48371,50096,51847
GA,13127,34856,36058,37585,37472,37677,39404,41556,42322,44342,47211,48170
MI,26053,27987,29000,30198,31740,32041,34233,36548,37687,37204,39790,44113
MT,30037,33724,37414,44308,47948,49616,49473,55441,52589,47845,50748,52862
ND,38033,32480,38990,44741,51551,56605,50065,42500,40624,40248,36906,37688
TX,48175,28964,30330,35298,38233,40999,44600,41742,40162,41335,43770,45589
TX,48177,27811,30350,31356,33545,36860,42697,46088,38961,42013,45897,44789
VA,51075,65674,68542,76837,82555,79077,82989,89296,91058,97960,101267,102690
MN,27049,38161,39706,42433,45118,45483,48141,50097,49716,51749,53871,55816
ID,16047,27589,36527,43489,46027,48853,57444,50489,51081,52000,54853,61715
GA,13129,26478,26363,27341,28128,29680,31092,32526,32674,35793,35191,35557
WY,56015,31658,32780,37348,38378,38986,40078,41230,39476,40138,42791,43725
NE,31073,43068,41530,53455,50008,65293,57322,54947,46675,43682,48313,50478
KS,20063,47077,53685,71973,65172,61171,56114,66208,67969,55758,58545,66403
OK,40051,30569,32187,34765,35916,36116,38390,37431,36254,37926,39554,40777
GA,13131,27679,27889,29814,29110,29943,29599,31704,31319,33740,34883,36527
NH,33009,42936,45325,46610,48899,48969,52319,54988,56679,58007,61800,63319
KS,20065,39148,42245,52886,52706,57820,51788,48948,44447,44923,49676,56940
NC,37075,25926,25646,26596,27293,27346,28959,29737,29468,31620,33353,35040
AZ,4009,23884,24530,25460,26714,27311,28852,29088,28896,30142,31195,31895
TN,47057,24136,25282,26241,27653,28056,28739,30512,30795,32176,33867,34983
CO,8049,30547,30678,32808,35713,38596,41325,44102,44418,47150,50550,51891
UT,49019,34413,35738,38938,40438,39740,41072,43158,46740,51182,56312,59196
ND,38035,36360,38101,40985,45066,44303,46491,47751,48094,49551,51747,53502
VT,50013,44703,46659,46867,50498,50127,52224,53526,55471,57035,57997,59863
MI,26055,33989,35952,37788,39775,40426,42775,44743,45838,48085,49987,51619
MT,30039,30030,31538,34798,38156,37787,37675,40866,40306,42110,43600,44717
OR,41023,29092,29882,31864,32846,34223,37419,39214,39302,39769,41715,42888
NE,31075,29512,33083,40289,36368,46749,60324,72271,59531,45169,45648,51082
WV,54023,27763,28309,29834,30786,31801,34006,33942,35532,36424,35610,36862
WI,55043,31328,33491,35732,37658,37574,38526,39732,39813,41651,43575,45392
WA,53025,29515,30247,32275,33248,34654,34957,38408,38273,39031,39731,41141
MN,27051,37566,39247,41621,53350,53228,48645,52225,46891,47512,47917,50366
ND,38037,32286,36684,39689,55290,47462,44154,40125,42579,45541,41963,45370
KS,20067,35295,39722,42695,44365,51505,51068,45131,48651,43050,48845,54892
OK,40053,35083,36509,42501,45936,45273,59563,47397,41059,40805,41335,46669
IN,18053,29728,30496,31994,33710,34515,35734,37116,37615,38364,40471,41491
AR,5053,29381,30812,31802,32858,32674,33826,35187,36034,36960,37800,39087
KY,21081,27032,28249,29059,29939,30365,30992,32481,33246,34704,35649,37083
LA,22043,25806,26132,27156,27389,28207,28164,29398,30316,30593,30987,31890
NM,35017,29629,30377,32455,33701,33877,35281,37359,37658,38612,41216,42959
SD,46051,39430,40710,49505,45318,55286,60170,66700,60512,55385,55549,57365
NC,37077,28963,30046,31290,32152,32527,33375,34419,35841,36974,38189,39610
MI,26057,27499,28744,31194,31908,31974,32747,34067,34733,35631,36816,38274
KY,21083,29842,30164,31812,32167,34114,34583,35512,35311,36835,37727,38485
KS,20069,41165,52634,61805,61967,76512,70224,65709,72566,64148,67148,75961
TX,48179,35865,37665,41780,44112,46423,46493,42841,38224,41647,42497,44127
WA,53027,30024,30579,31435,32371,32646,35068,35913,37129,38778,40566,41928
KY,21085,25389,25941,27506,28516,28864,30445,31382,31645,32394,33187,34450
VA,51077,26134,27200,28048,28535,28518,28405,29193,30096,31100,32108,33190
TX,48181,31705,32264,33990,35621,36117,37946,38777,39954,40793,42480,43987
KS,20071,44126,57124,69291,66355,76366,56656,45035,60629,72271,76059,98916
NE,31077,29955,29974,40057,41043,49263,46739,50347,44610,44018,45466,46979
KY,21087,26070,27411,28479,28799,29359,30952,32392,32593,34161,34247,34997
WI,55045,38085,38521,41581,43805,42696,45132,46789,47744,49065,51157,53782
WI,55047,34400,36135,39188,41747,40254,43064,44094,43642,44310,45128,46260
WV,54025,28804,30201,32941,31929,32729,34200,35940,35096,36499,37910,38842
IN,18055,30360,30937,32513,33407,33581,34824,35589,36521,38050,39433,41747
IL,17061,29380,31804,33755,32434,36104,34334,32178,34068,34422,36366,36652
NC,37079,24104,25351,26234,27814,29114,30387,29949,29678,31510,31573,32904
TN,47059,30581,32269,33175,34124,35157,35363,35433,34380,35347,36271,37287
NY,36039,32820,34976,36823,38663,39961,41751,43491,44102,46101,46982,49100
GA,13133,36420,38355,40224,42420,42052,45081,48881,51162,54873,59604,58708
IA,19073,39568,38989,46377,47468,49387,47687,45858,45253,46187,49314,53039
AL,1063,27023,26687,27633,27636,30703,28939,30659,31160,31790,31760,33386
VA,51079,32626,33814,35133,36511,36638,38254,40156,41450,42622,45136,46529
MS,28041,20745,22084,23500,23992,25907,26488,28507,27763,27519,27480,28617
AR,5055,26830,27776,28588,30755,31790,31851,32325,32502,33499,34525,35770
OH,39057,37232,38293,40490,41130,41862,43534,45510,46528,48486,50277,51509
MO,29077,34481,34324,35332,36812,36499,38007,40227,40793,42809,44014,45476
PA,42059,31060,33115,35864,37464,38150,41714,39822,38754,42132,43649,45161
AZ,4011,29461,30233,31123,31209,35113,36371,34497,34149,36846,40342,42296
KY,21089,31594,32900,33854,34812,34578,36317,37577,37099,38704,41411,42516
SC,45045,34396,35627,37404,39690,39818,42272,44427,45030,46997,48601,49801
SC,45047,29344,30119,31251,31155,31746,33086,34363,34987,36257,37024,38180
KS,20073,32023,33897,34050,36837,38934,39419,38501,39487,40047,41446,44689
OK,40055,22668,22653,24733,27487,30370,38723,28832,27989,28577,28578,30055
TX,48183,41832,41852,46812,45948,45248,47306,44677,43318,43651,45845,47109
SD,46053,35998,36173,46914,37947,38220,38909,40365,39291,42404,44506,44981
MS,28043,28459,29833,31470,31200,30873,31400,32663,33873,34567,35798,37067
ND,38039,39148,44043,48591,61784,64222,55905,51958,60625,55802,57744,56996
TX,48185,27727,28933,29683,31990,32141,34685,34577,33019,34333,35523,36909
IA,19075,41509,42137,46929,50220,50111,48667,48457,48006,50068,52659,55017
TN,47061,23147,24720,26139,27437,28099,28153,29320,30113,30979,32241,33635
IL,17063,41962,43726,54573,62393,54321,49866,48621,47135,49251,53947,55741
MO,29079,29851,30058,31176,31046,32215,33951,32742,33628,34678,34680,36146
NM,35019,23128,25574,28229,28118,28638,31362,33595,34567,32231,34313,35516
TX,48187,33523,33999,35723,36925,38170,39937,41652,42140,43373,44361,45797
OH,39059,28182,29069,31241,32765,33499,35644,36587,36404,38622,40403,41613
NC,37081,35870,36582,37679,39600,39144,41129,43307,43356,44664,46078,47546
FL,12045,24621,26347,26874,27580,27006,28947,30378,32309,34234,37629,46346
CO,8051,34226,33847,35638,36529,37803,40617,42429,43998,45438,47962,48853
IA,19077,39064,39091,44738,44784,49023,48162,50803,49978,49597,53231,54843
GA,13135,31847,31727,33708,34332,34943,36552,38249,38714,39902,41582,42902
SD,46055,33825,38253,45440,43388,44599,47907,50855,45839,47421,56915,51865
GA,13137,26391,26449,26897,27667,29104,30402,31361,32073,33013,34122,34831
AK,2100,37956,41259,44728,45920,49899,53013,58651,57593,62977,71435,71711
TX,48189,26878,30348,29511,29214,29997,30344,31372,30636,32054,33551,35633
AL,1065,28601,28974,30396,31013,32352,32293,34305,35130,35842,36586,38207
NC,37083,28423,29298,30358,31845,31473,31905,33285,33903,35101,36244,37854
VA,51083,28451,29162,29464,30688,30948,32228,33267,34311,35524,36658,38414
NE,31079,33743,34020,36160,37503,37608,38636,40334,40464,42237,43822,45112
GA,13139,30335,30562,32494,33450,34277,36142,39010,40172,42239,44442,45576
TX,48191,31118,32129,28058,26440,32985,29502,31513,28774,33158,33646,33095
TN,47063,28588,29508,31864,32116,32480,33444,35042,35456,35904,37298,38304
TX,48193,39100,37907,43856,47511,49756,52814,55061,53894,57650,58038,60584
OH,39061,42587,45026,49795,51904,51547,51996,53565,54978,57101,59780,61732
IN,18057,52167,53886,57333,60158,60857,64271,67040,69337,72005,75653,77263
IA,19079,37371,39262,46141,44926,50548,52336,52204,49458,50060,55807,58399
NY,36041,39012,39548,40597,41425,42119,46726,47082,49069,52259,53781,55578
IL,17065,30978,33469,35541,35127,37994,37165,37891,39405,41112,42976,43609
TN,47065,38361,40229,42340,44609,43997,45198,47373,48051,50060,51846,53360
NE,31081,40924,40309,48963,53923,56051,53693,54573,52273,54900,54589,56372
KS,20075,34121,50257,53308,52398,73326,70764,57100,51402,49725,56042,69339
FL,12047,19921,21381,22072,21347,22310,23244,24229,24305,25774,27176,27643
SD,46057,33414,31737,40596,40321,43437,40079,40933,42340,42161,44636,44145
MA,25013,38325,39254,40930,42782,43251,44765,47310,48417,49631,51736,53248
WV,54027,26013,27274,28466,28919,29380,30096,31684,33355,33865,34804,36093
MA,25015,38089,39085,41213,44096,43840,45846,48387,49565,51065,52910,54867
SC,45049,25200,25834,27102,26301,27009,27378,28790,30096,31320,32887,34322
VA,51650,35136,35949,37225,37751,37965,39154,40502,40763,41943,43448,44909
ME,23009,38368,39954,41226,41837,41618,44340,46895,47634,48715,50655,52294
IN,18059,37271,38731,40224,42449,42575,43403,45433,46997,48608,50794,52134
GA,13141,21894,20698,22295,22833,23614,25612,26514,27110,28503,30377,31297
IA,19081,36702,38790,45009,47930,50492,50971,49228,47027,51322,54845,57702
WV,54029,31366,32686,34357,35688,35954,36796,38171,38848,40271,42504,43823
TN,47067,20397,21122,21805,22746,23477,24604,25628,25415,25849,26927,28083
OH,39063,34216,36494,40114,41045,42042,49027,60694,52902,49695,50181,51762
MS,28045,32351,33380,32059,32697,32518,33856,33150,33567,34153,35617,36533
IL,17067,33514,35438,37839,38277,43444,42894,40785,41980,42119,44687,45052
KY,21091,44800,40442,34124,33686,35342,35285,36008,34460,35138,37352,38722
SD,46059,42344,37214,55393,52778,64856,54000,49870,47362,51747,57967,54579
VA,51085,43550,44391,46910,48689,49096,52132,55285,57095,58652,60189,61832
TX,48195,41039,47765,54826,61823,54863,66276,80750,58076,63570,61020,65330
SD,46061,51699,53488,61091,58099,58185,57286,55885,55609,57488,62565,65135
GA,13143,26764,27255,28661,29727,30167,31619,33163,34097,35404,36840,37582
FL,12049,21689,23057,24006,25094,24411,25638,26978,26216,28321,28034,29545
