State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LA,22007,-6,1,5,3,2,-12,-14,-6,12,5,7
TX,48013,-4,14,34,50,33,30,-28,-19,16,16,0
MO,29005,23,1,6,5,13,-5,-36,41,-1,9,22
KS,20005,-3,1,10,-7,5,8,6,0,17,2,2
OH,39009,4,5,3,0,5,4,3,3,7,-1,5
GA,13003,-7,5,0,2,12,-1,16,4,9,9,8
NJ,34001,-10,-2,5,1,2,0,-1,0,0,2,4
OK,40005,8,-4,5,3,2,5,1,4,3,-1,2
MS,28007,-2,2,3,-4,4,10,-4,-1,-3,-3,0
MO,29007,-1,4,1,-2,5,9,2,2,0,-6,5
IA,19009,-15,-4,9,-10,8,-3,-7,-1,14,6,17
OH,39011,-9,8,9,10,6,1,1,3,7,4,3
SD,46003,-5,3,35,-23,2,-5,-8,-25,9,10,6
TX,48015,-7,6,-6,1,2,2,-2,2,7,10,4
AL,1001,8,7,10,13,-2,3,10,3,-4,5,0
NC,37011,2,3,2,6,-2,1,3,2,4,4,7
LA,22009,17,7,11,6,1,-1,-8,-1,7,4,4
CO,8009,32,-9,6,-33,38,-21,-19,-2,72,-15,-10
GA,13005,0,3,7,1,9,-2,3,6,6,2,6
TX,48017,-22,56,8,0,0,17,-6,-13,18,1,4
FL,12003,-3,-8,1,1,1,3,4,4,4,5,2
GA,13007,-9,6,18,6,-4,-23,-6,8,-17,6,23
OR,41001,5,6,3,-6,12,3,1,5,1,5,7
AL,1003,-3,4,2,5,5,4,6,6,4,7,5
GA,13009,-1,-3,0,1,0,3,2,2,1,4,5
KY,21007,15,3,-5,-10,-4,-7,-9,-18,3,-5,8
MD,24510,1,4,2,3,2,4,5,4,3,3,4
MD,24005,2,4,1,1,2,4,4,5,3,6,3
SC,45009,-2,4,8,-12,9,8,-4,6,-4,2,7
TX,48019,1,3,3,3,16,-6,4,-1,0,4,9
GA,13011,-6,-4,-7,23,15,11,2,-11,11,6,-3
NE,31007,-52,104,73,-20,53,16,5,6,-45,-3,7
ID,16005,-3,2,-1,1,3,3,3,3,4,4,5
MI,26013,-3,4,-2,4,5,-2,1,-3,3,2,9
KS,20007,-16,17,11,8,13,-5,-28,-5,9,-6,6
WV,54001,1,5,3,4,2,8,-7,-5,10,5,6
AL,1005,1,2,-3,0,15,-5,0,-3,3,6,1
ND,38003,-11,20,2,26,-10,2,12,-12,9,3,9
MA,25001,1,3,4,2,2,4,5,2,3,4,11
SC,45011,-5,-3,3,-1,3,6,1,1,-3,10,1
KY,21009,-7,13,8,9,-2,2,1,0,4,1,3
WI,55005,10,0,5,5,5,7,7,-7,6,11,-3
GA,13013,-5,2,6,8,5,5,7,4,6,9,6
MI,26015,-2,7,7,6,5,7,5,-6,4,3,6
MO,29009,-8,6,-2,3,10,6,18,-15,-1,9,-7
IN,18005,-11,19,2,12,8,-2,2,-1,2,6,3
MO,29011,0,2,3,12,-2,0,-9,9,2,-4,2
KS,20009,-5,4,7,8,-1,5,-6,0,-2,1,4
GA,13015,-2,2,-3,-4,4,11,-1,8,1,5,2
TX,48021,4,-2,6,3,1,5,7,3,7,8,4
MO,29013,-3,0,-2,8,3,-2,-10,9,6,-3,13
KY,21011,-8,3,4,4,7,0,9,5,7,6,7
VA,51017,1,7,1,-9,1,2,6,1,1,-4,9
AR,5005,-3,3,2,-3,3,6,4,3,8,7,6
FL,12005,-1,-1,-1,1,3,5,5,3,3,5,3
MI,26017,1,3,1,2,2,-3,3,0,0,3,2
WI,55007,5,3,3,8,0,0,2,2,4,12,6
TX,48023,-18,3,11,7,15,1,5,-6,7,5,7
SD,46005,-2,4,20,-8,4,2,7,5,-1,3,4
ID,16007,0,0,6,13,3,3,-1,0,6,7,9
NC,37013,3,-2,9,-4,7,2,3,24,5,6,-2
SC,45013,-4,-1,1,3,5,5,6,4,2,6,6
LA,22011,0,3,6,0,0,-3,-3,-1,4,5,4
OK,40007,-30,83,34,2,-8,-3,-11,3,22,9,4
UT,49001,22,16,-8,9,27,6,-22,-4,27,-9,33
PA,42007,-5,7,4,-3,0,2,-2,-2,9,10,2
MT,30001,5,-4,6,11,10,12,4,-2,-7,5,13
MN,27005,-3,11,5,6,4,2,4,5,0,4,5
OK,40009,-25,12,7,13,2,-4,-22,-16,7,11,-9
VA,51019,0,4,1,2,2,2,5,1,2,4,6
TN,47003,-6,10,3,9,7,2,-1,-5,-1,4,4
PA,42009,-3,6,2,-5,5,0,2,0,7,1,6
TX,48025,-22,2,5,2,9,-1,-16,-6,1,2,4
NH,33001,-1,0,3,6,3,0,5,4,4,4,4
KY,21013,-1,4,-1,4,-1,-1,1,-2,4,1,2
TX,48027,3,1,4,0,-1,2,6,-2,3,5,4
OH,39013,-1,4,3,1,9,30,11,13,40,9,-11
MN,27007,5,2,3,2,4,5,6,6,-1,7,4
GA,13017,-4,3,2,3,3,1,1,3,2,5,5
ID,16009,-3,12,6,-10,2,-2,9,0,3,6,5
SD,46007,0,-1,9,23,-15,20,9,-9,10,-5,3
VT,50003,-3,3,2,2,2,-1,3,2,2,3,6
ND,38005,-6,0,16,23,-14,-13,-8,6,16,19,-11
CO,8011,2,-2,26,-9,6,-8,-3,-4,-3,3,4
OR,41003,-1,2,4,0,-1,1,4,4,7,6,3
MO,29015,3,6,-1,-3,11,4,8,-7,2,11,4
IN,18007,-11,29,17,-12,34,-8,-13,27,-4,1,14
AR,5007,0,6,4,8,9,7,6,3,7,5,4
TN,47005,-1,3,2,3,2,4,5,1,4,2,6
MS,28009,0,25,38,35,2,-5,5,11,-1,3,-22
MN,27009,-4,4,1,5,0,6,7,7,5,0,3
WA,53005,8,14,-1,-3,0,3,7,6,4,6,6
IA,19011,-1,7,8,1,6,1,2,1,7,5,7
MI,26019,6,0,0,1,4,3,8,6,3,4,6
NJ,34003,0,2,1,3,3,3,4,2,2,4,3
WV,54003,1,-2,3,5,1,1,5,4,10,4,2
SC,45015,-4,4,4,7,3,5,9,7,5,7,5
PA,42011,-2,4,3,2,2,5,6,2,1,5,4
MA,25003,2,2,4,7,3,4,3,1,0,5,4
NM,35001,2,-1,1,3,0,4,4,3,1,4,4
MI,26021,-9,10,2,1,4,4,4,5,6,1,1
GA,13019,-3,1,-14,-13,-8,-7,-3,3,7,4,7
NC,37015,6,-9,-7,-1,2,3,10,-3,4,-6,5
TX,48029,0,5,5,3,4,6,8,4,2,7,3
AL,1007,-1,9,3,0,4,1,-2,3,2,5,10
GA,13021,0,0,2,4,2,4,5,1,4,6,3
LA,22013,-19,6,0,-13,-14,-11,-22,-4,27,14,-4
MT,30003,-9,-1,7,1,37,6,0,-17,17,9,7
WY,56003,-8,7,11,-6,7,-7,-5,0,4,6,4
MN,27011,2,-5,-2,30,-2,-9,11,-3,-1,4,11
ND,38007,-16,19,23,46,1,9,-21,-13,14,-1,60
ID,16011,4,-3,10,-1,1,-6,3,-3,3,7,12
IA,19013,7,7,-1,26,-11,16,-4,-9,0,6,0
IN,18009,-12,8,0,2,7,2,-3,2,5,6,-1
NC,37017,-26,28,13,7,-2,-1,2,-2,-2,0,0
ID,16013,-11,-4,0,8,5,7,6,2,7,8,4
OK,40011,-24,18,18,-10,-4,5,-1,-2,11,3,26
MT,30005,20,2,-1,-3,6,4,-9,-20,7,12,7
NE,31009,-14,41,37,-20,81,49,9,-11,-25,-9,2
PA,42013,1,3,1,3,3,3,3,2,4,2,5
TX,48031,6,4,3,7,6,7,9,4,6,5,8
VA,51021,-1,-2,-2,1,-11,5,5,-3,2,5,6
GA,13023,-1,2,-5,9,-3,-11,2,-1,4,3,8
TN,47007,-1,8,7,-7,6,10,3,-8,7,-2,4
AL,1009,-1,0,-1,5,9,1,3,-4,8,4,0
TN,47009,-8,4,9,8,4,2,6,5,6,6,4
MN,27013,0,4,8,7,5,5,2,0,0,2,5
ID,16015,-3,3,0,7,13,-6,-9,7,25,39,2
MS,28011,2,11,3,6,1,-7,-1,6,5,3,-3
MO,29017,31,-16,-3,6,3,5,-8,6,16,3,5
SD,46009,12,9,11,2,-32,3,8,17,9,12,12
IL,17005,3,6,2,2,2,-2,15,-4,0,3,2
ID,16017,-3,1,-1,0,4,4,2,6,5,6,4
ID,16019,0,0,1,7,5,5,8,4,9,9,5
IA,19015,4,-1,9,3,4,0,-5,0,-3,9,5
AR,5009,-6,5,3,0,-1,5,1,5,4,5,3
KY,21015,-3,5,4,7,6,7,11,10,10,7,7
IN,18011,-5,7,11,5,22,11,-1,-2,6,8,6
WV,54005,-1,1,9,-23,-10,-14,-22,-24,-1,8,-4
IL,17007,-21,15,7,8,4,-1,9,1,-3,14,-1
MO,29019,2,4,4,6,6,2,4,3,3,4,4
NE,31011,12,21,29,-9,16,-4,-7,-1,-7,7,8
TX,48033,-37,24,19,0,2,-19,-44,3,19,45,20
TX,48035,5,2,15,12,8,3,4,-1,1,1,7
LA,22015,-5,4,7,-2,-2,2,-4,-3,7,8,0
VA,51023,-3,6,7,4,10,2,4,-1,-1,6,8
ND,38009,0,-9,13,38,4,7,-28,-13,14,35,-10
CO,8013,1,2,1,2,4,5,6,4,7,5,8
ID,16021,-2,11,7,6,-4,6,6,0,8,6,6
KY,21017,-4,13,4,9,7,8,11,8,4,6,6
KS,20011,2,-3,-6,7,3,4,4,6,3,9,2
TX,48037,0,2,2,2,-2,1,4,1,1,3,3
ND,38011,-21,5,12,11,7,-2,-21,-16,8,-14,6
NE,31013,-10,5,19,11,-2,2,-2,-4,8,4,5
UT,49003,-1,5,-4,-18,7,2,7,8,7,1,9
KY,21019,-4,3,2,25,18,-12,-9,-22,24,21,-6
NE,31015,8,21,21,-14,-2,14,10,-2,19,7,6
KY,21021,-1,4,2,1,1,1,3,2,2,5,4
KY,21023,0,10,-1,8,-4,-1,2,17,6,3,4
FL,12007,-7,-3,1,-1,3,6,4,3,8,6,0
PA,42015,28,23,17,-6,7,17,-24,0,15,3,2
AR,5011,-5,16,-2,11,2,4,4,0,4,6,2
TN,47011,3,4,3,17,5,0,6,-4,-1,4,5
MI,26023,-3,8,2,-3,-4,1,6,4,2,6,4
GA,13025,-1,3,2,0,1,8,7,5,3,9,8
WV,54007,-3,8,0,4,1,0,5,-2,1,1,7
TX,48039,-2,15,5,11,7,2,1,0,4,10,-1
TX,48041,5,4,2,6,9,7,1,2,4,7,2
KY,21025,-12,2,2,-7,3,3,-3,-4,-1,2,1
KY,21027,5,5,6,9,3,2,-3,-7,6,-2,6
IA,19017,-3,2,9,12,0,7,4,0,-2,6,4
FL,12009,-4,0,-2,-1,3,4,6,4,6,6,8
TX,48043,7,5,1,1,5,1,1,-1,1,6,8
TX,48045,44,31,-34,-12,69,-40,62,44,14,16,-4
MA,25005,-1,3,3,2,3,5,8,1,5,4,4
RI,44001,1,2,2,1,2,3,5,3,0,3,3
MT,30007,-11,-5,1,-10,22,5,10,13,1,6,10
NY,36005,5,3,2,4,4,2,4,3,5,10,3
WV,54009,-11,0,7,-5,7,12,-15,-7,21,14,-3
SD,46011,5,1,9,-1,11,4,6,5,1,3,2
TX,48047,-37,-10,0,-15,2,19,-30,-19,13,5,0
GA,13027,0,-7,14,-6,4,3,6,6,6,2,17
NY,36007,4,4,1,4,-1,-1,1,1,2,4,6
FL,12011,-3,4,0,2,3,5,7,5,5,6,5
IL,17009,5,4,3,9,10,0,14,-2,8,7,8
IN,18013,-2,2,1,5,2,5,1,3,2,5,6
NE,31017,-1,41,25,-2,26,22,9,10,-23,1,3
TX,48049,1,0,2,2,3,6,5,3,4,3,3
SD,46013,-4,3,12,4,11,-1,1,1,-4,11,-2
MN,27015,-4,-2,3,3,5,5,3,8,4,6,-1
KS,20013,20,-17,31,-6,10,-4,0,-2,8,13,1
OH,39015,1,8,4,-1,2,0,4,1,3,1,1
WI,55009,1,5,3,6,1,10,5,2,0,6,3
SD,46015,-1,2,22,-12,3,2,3,-12,39,-16,-3
VA,51025,4,-8,-5,3,2,-2,-1,106,21,0,5
NC,37019,1,4,1,0,3,8,5,6,7,2,8
